index,predicao
1,60795.82103942478
2,67739.59684450229
3,282971.42922258266
4,108916.24186916299
5,104807.27331282831
6,61575.871982004035
7,117367.2702296399
8,226504.26902302023
9,214161.85196150292
10,235282.70444440204
11,140106.31346800725
12,89616.22680931736
13,93750.82432386158
14,212342.37833747017
15,154967.51805942928
16,85264.6385205219
17,201005.09836911142
18,126994.76041608171
19,204752.85801560347
20,115720.68424892856
21,86656.68205834954
22,93651.70848191489
23,277439.6895424932
24,52250.985137590076
25,118896.69218543258
26,70557.16252093315
27,258388.34459573933
28,68964.35057619624
29,159699.38627661736
30,157611.86483245532
31,258468.63107364674
32,68200.66046572446
33,102480.56963524583
34,163918.40913610626
35,82596.74832641298
36,120967.21827825006
37,235966.16812995085
38,273825.8868978423
39,56778.00884501058
40,100609.64301850511
41,112662.57700140709
42,113795.44495920064
43,63236.93531623144
44,86716.3353339809
45,191370.62513274676
46,388354.4297170045
47,54883.74026187423
48,79709.82505756358
49,149177.27734762605
50,82992.87563863682
51,67065.5156309052
52,99088.63109854261
53,89593.48124180248
54,202503.22872618918
55,137581.83494944221
56,124740.52043171535
57,249635.82756835886
58,152655.8690310881
59,91184.39548798138
60,114304.6417751377
61,82282.33684798834
62,87341.87905705735
63,126031.78224107025
64,66594.61399637566
65,111475.7880560407
66,46061.558517060985
67,103422.8080163362
68,66104.899159819
69,169965.97773181915
70,338843.9598463646
71,83121.90946470894
72,171406.38091565578
73,142869.44067621985
74,106787.89244992996
75,38588.69780590674
76,143985.3128164313
77,100974.30654736617
78,72992.01451028994
79,113374.1601301807
80,98348.98493243745
81,81418.52366487696
82,51063.26758283968
83,303492.9612581117
84,165073.3658858202
85,87378.28469277173
86,65869.47317711437
87,329116.0688837203
88,252383.60048820468
89,114612.55550856369
90,85884.42948459217
91,128385.84601497876
92,114882.86934490578
93,121257.48767982934
94,100104.5923797879
95,90473.11559390122
96,127253.31384364566
97,130724.2235348554
98,148749.22443079695
99,67148.13907391357
100,70666.86995348633
101,66661.6456058212
102,141853.20521049012
103,112690.9091505443
104,80729.51032668902
105,54127.21527695442
106,52880.07462772015
107,128936.10407290586
108,258326.66384100125
109,52268.47357979241
110,69645.3397273006
111,109774.9230666023
112,127487.57050033766
113,65063.08923853145
114,125751.26685416863
115,275007.1922181594
116,114127.88172532538
117,93233.21072798595
118,184846.11077552356
119,103358.84961993169
120,252908.43262453613
121,113015.7693511806
122,103620.4425657237
123,98865.82102302482
124,119411.71478479182
125,85342.429654278
126,50480.42138445517
127,94278.27674763763
128,97994.73265714647
129,76385.52988147433
130,131695.65303921478
131,272626.4446379576
132,285851.45697494346
133,90229.24556621848
134,201856.47501226142
135,112712.06406009856
136,143974.0327910256
137,258813.3803637424
138,307637.05805960094
139,85788.5906703602
140,303618.46631706523
141,110326.71447495316
142,129569.06253242673
143,138220.31074168495
144,88026.91306341627
145,85458.35655087976
146,201821.54960542562
147,82959.41078674672
148,267694.8549499765
149,89367.58953349764
150,77246.16176631516
151,293862.7470182159
152,136451.0423625922
153,71484.77743240002
154,140911.330157592
155,143367.12959191817
156,105719.17903943767
157,95464.35641793931
158,133756.4898370753
159,82124.26682425778
160,121974.54047610896
161,243838.87109638046
162,60615.95302579122
163,397111.4421504598
164,159927.7284601731
165,64498.94981666777
166,77282.35037944635
167,142372.2269649989
168,106632.0269931244
169,155592.40635919222
170,102530.70871718682
171,97159.4383449851
172,66197.48542728851
173,96057.18349334382
174,117150.51470907703
175,93059.05093676638
176,103002.0916172677
177,277982.52487503586
178,130281.47854900199
179,120796.34157023793
180,46689.23818983449
181,109552.02244795107
182,148154.63582114177
183,112824.8595526211
184,171402.5914115833
185,161702.7888360379
186,213222.60945823434
187,119905.3287701557
188,142558.10823925643
189,125780.86154990442
190,156154.92213009569
191,76084.38947050904
192,117974.4376138697
193,51110.84949023598
194,75813.90393162282
195,252098.21252194722
196,261874.927666639
197,184347.69282964818
198,50063.7155259958
199,87521.4856636044
200,302194.8055600252
201,91551.07794333415
202,76929.95082051156
203,100287.57556374303
204,73178.3758910341
205,114232.96730209257
206,244282.12824676515
207,143032.76879077283
208,111577.45719992524
209,197419.02366469605
210,310270.62400172616
211,117209.73031549607
212,73644.22974879161
213,133775.32044442513
214,194279.53305308812
215,136666.94199680348
216,266121.8343659189
217,76089.2704102646
218,331716.7746318587
219,61632.9787561388
220,63838.19363191881
221,254148.40075033077
222,480905.35941092466
223,314623.6356200811
224,41646.28953911547
225,92342.7194076604
226,44006.83882053639
227,143869.13597400516
228,117213.26751666545
229,156008.61813472916
230,122762.75024687512
231,71997.97338196075
232,196091.80015226293
233,162772.5406151385
234,91702.31131882295
235,72640.93100446282
236,210065.3310841102
237,72864.26640932566
238,128519.29224997292
239,47463.64903222656
240,57564.610142135985
241,81689.20285058267
242,85626.43348131308
243,161182.46396366385
244,70559.21618130691
245,115076.33473027291
246,87850.6573810638
247,44060.80357220946
248,131696.8155235254
249,432398.9988355278
250,129274.93839898285
251,172336.45786985927
252,68648.80519620486
253,465014.47820596927
254,131705.80142623073
255,192166.31473284616
256,228183.11725887313
257,81580.92050746309
258,170436.03051573705
259,166182.63827750276
260,128518.33107718016
261,111742.54199366522
262,45807.05494215941
263,121219.16657724016
264,44192.00244651423
265,132364.58780387687
266,59391.8675892624
267,60497.89073815846
268,72966.52728224886
269,126150.99837595756
270,70119.35090521425
271,163621.23273715613
272,402116.2952903536
273,129969.78255178167
274,150466.7611378148
275,177459.12144545204
276,74549.29578273724
277,122143.34965161113
278,281898.132047287
279,214720.50884905912
280,117471.24640673805
281,89001.1980631952
282,90332.14727814966
283,63680.35513858408
284,246314.14437463903
285,90627.01686969405
286,122813.83965695824
287,85513.43649833914
288,231638.71679683327
289,162417.42459488925
290,105668.41205885448
291,227152.73029021136
292,94465.565760929
293,150536.0862683768
294,92797.83515513985
295,71938.62431522593
296,289927.9232021505
297,68477.19275466847
298,135292.23156066873
299,211334.6356326142
300,112008.3547754067
301,154467.94621781222
302,115405.37098641202
303,323568.7830843619
304,51121.85343402415
305,118612.49603438491
306,229297.99178542607
307,115626.56216114567
308,132544.20827294365
309,39047.060395144836
310,92097.50155610187
311,39502.07003146753
312,140157.1615151781
313,124041.77108524684
314,128147.3684835078
315,159383.62454476417
316,289627.4547195498
317,130318.48280021273
318,56818.74000184969
319,78645.57756683916
320,141388.9867544054
321,81288.68049158581
322,99985.7661123235
323,86229.41794115074
324,268706.4587242126
325,92403.66368012696
326,71447.2826679209
327,102542.45785046018
328,69674.63304790492
329,91353.25329642794
330,65464.375903006265
331,86222.75129045086
332,73212.09529307426
333,237718.64909587824
334,155545.42224394833
335,144966.940975817
336,68235.84484304968
337,87309.89028168822
338,267546.53925504687
339,60884.76790172812
340,99490.50354686411
341,120714.25393985338
342,90867.54419343799
343,189845.26599582395
344,85193.00118527275
345,139813.53596729436
346,210703.4528665099
347,174422.2672775803
348,172038.06338298338
349,128711.77934963942
350,74238.92613964935
351,122525.09123355329
352,210507.3236901705
353,141342.30808644803
354,152725.90323188162
355,83387.22875071765
356,180832.0826690024
357,121510.48154655125
358,89804.72474127237
359,80688.27731410935
360,83015.42891742286
361,108924.99956416523
362,149075.91202743293
363,72974.13995924022
364,118610.75060621933
365,110695.67454226357
366,82248.173463544
367,52841.71139055744
368,118327.54183232217
369,64174.78141081054
370,111318.9650759421
371,58726.98976984082
372,479508.9499288034
373,144369.4511446567
374,145359.92164489644
375,161336.7773899075
376,197931.97542939108
377,92517.07323695984
378,42032.92505904403
379,201432.80366366863
380,133688.8330932204
381,65033.132232120035
382,54683.052163911256
383,126064.52139319293
384,91132.3671853346
385,120897.30320940273
386,107257.19519328317
387,153088.78800766365
388,66905.25307406194
389,97962.58529485906
390,64424.0558348453
391,59677.12679921958
392,214248.120430999
393,74280.30036023776
394,198055.2237109293
395,271665.1346765783
396,139720.3873164533
397,168508.92371674476
398,74320.00456571471
399,61974.295468124525
400,246763.64213226087
401,266860.94825231406
402,289959.67636884155
403,151909.14674538947
404,46945.3789767159
405,51917.99606031526
406,73320.91281637199
407,76877.46080536985
408,381033.34207516914
409,190358.19909922543
410,142234.93094909753
411,147900.70510870195
412,331055.5713727616
413,132870.92516603644
414,162074.2911759195
415,91319.75338549892
416,27097.6141430622
417,155116.8950605603
418,85579.22570329404
419,146502.5483636844
420,85500.0966613379
421,77411.04690324093
422,65205.21273736292
423,50076.79264621915
424,116226.7726265512
425,104221.67316400804
426,97190.67520122678
427,100155.48680562522
428,104647.51410137305
429,74469.96771995266
430,72056.4254874895
431,144520.7239061706
432,128656.07985208924
433,127254.39629988681
434,204074.11672806728
435,138540.59207327876
436,166506.11659964197
437,91825.56034078867
438,193449.36025529553
439,65370.15166735337
440,86207.48680961177
441,113892.90062347232
442,304778.3572311508
443,60053.807824749725
444,162205.6893743045
445,43266.002702810874
446,130226.29821944867
447,198837.88712724135
448,70686.292373127
449,139062.45335964282
450,236205.12499784035
451,77125.3753833584
452,126440.30439702308
453,78220.45883159159
454,76011.00337906835
455,106142.64158725938
456,102178.03883262927
457,53072.42958258349
458,109183.93388075978
459,137187.65810524908
460,108648.62561419145
461,79557.96027407667
462,255829.70433185916
463,105824.54339088319
464,245257.99126587517
465,124150.51657962766
466,139963.9016674166
467,153309.92940478394
468,116667.62245697489
469,88704.82175815411
